"","c","t"
"354",145.5791,1.664895e+12
"355",145.56,1664895060000
"356",145.64,1664895120000
"357",145.705,1664895180000
"358",145.6699,1664895240000
"359",145.715,1664895300000
"360",145.79,1664895360000
"361",145.68,1664895420000
"362",145.7982,1664895480000
"363",145.75,1664895540000
"364",145.6401,1664895600000
"365",145.56,1664895660000
"366",145.511,1664895720000
"367",145.595,1664895780000
"368",145.48,1664895840000
"369",145.355,1664895900000
"370",145.475,1664895960000
"371",145.365,1664896020000
"372",145.335,1664896080000
"373",145.27,1664896140000
"374",145.19,1664896200000
"375",145.2774,1664896260000
"376",145.3981,1664896320000
"377",145.42,1664896380000
"378",145.42,1664896440000
"379",145.505,1664896500000
"380",145.52,1664896560000
"381",145.545,1664896620000
"382",145.4601,1664896680000
"383",145.51,1664896740000
"384",145.465,1664896800000
"385",145.3,1664896860000
"386",145.21,1664896920000
"387",145.2799,1664896980000
"388",145.25,1664897040000
"389",145.25,1664897100000
"390",145.195,1664897160000
"391",145.1093,1664897220000
"392",145.31,1664897280000
"393",145.23,1664897340000
"394",145.285,1664897400000
"395",145.3613,1664897460000
"396",145.23,1664897520000
"397",145.025,1664897580000
"398",145.18,1664897640000
"399",145.355,1664897700000
"400",145.44,1664897760000
"401",145.4917,1664897820000
"402",145.5599,1664897880000
"403",145.64,1664897940000
"404",145.6,1.664898e+12
"405",145.58,1664898060000
"406",145.4066,1664898120000
"407",145.51,1664898180000
"408",145.6,1664898240000
"409",145.535,1664898300000
"410",145.385,1664898360000
"411",145.34,1664898420000
"412",145.2912,1664898480000
"413",145.27,1664898540000
"414",145.29,1664898600000
"415",145.295,1664898660000
"416",145.345,1664898720000
"417",145.1855,1664898780000
"418",145.145,1664898840000
"419",145.1,1664898900000
"420",145.051,1664898960000
"421",145.1712,1664899020000
"422",145.2301,1664899080000
"423",145.2802,1664899140000
"424",145.21,1664899200000
"425",145.2,1664899260000
"426",145.2855,1664899320000
"427",145.313,1664899380000
"428",145.335,1664899440000
"429",145.2,1664899500000
"430",145.085,1664899560000
"431",145.15,1664899620000
"432",145.285,1664899680000
"433",145.19,1664899740000
"434",145.1823,1664899800000
"435",145.16,1664899860000
"436",145.18,1664899920000
"437",145.1007,1664899980000
"438",145.1223,1664900040000
"439",145.21,1664900100000
"440",145.2355,1664900160000
"441",145.2975,1664900220000
"442",145.1907,1664900280000
"443",145.18,1664900340000
"444",145.131,1664900400000
"445",145.165,1664900460000
"446",145.2394,1664900520000
"447",145.17,1664900580000
"448",145.235,1664900640000
"449",145.4298,1664900700000
"450",145.32,1664900760000
"451",145.5299,1664900820000
"452",145.645,1664900880000
"453",145.475,1664900940000
"454",145.535,1.664901e+12
"455",145.54,1664901060000
"456",145.5529,1664901120000
"457",145.535,1664901180000
"458",145.505,1664901240000
"459",145.36,1664901300000
"460",145.315,1664901360000
"461",145.365,1664901420000
"462",145.34,1664901480000
"463",145.335,1664901540000
"464",145.27,1664901600000
"465",145.265,1664901660000
"466",145.1655,1664901720000
"467",145.2,1664901780000
"468",145.235,1664901840000
"469",145.12,1664901900000
"470",145.045,1664901960000
"471",145.0501,1664902020000
"472",144.99,1664902080000
"473",144.981,1664902140000
"474",145.05,1664902200000
"475",145.135,1664902260000
"476",145.05,1664902320000
"477",145.02,1664902380000
"478",145.01,1664902440000
"479",144.95,1664902500000
"480",144.9586,1664902560000
"481",145.05,1664902620000
"482",144.96,1664902680000
"483",144.86,1664902740000
"484",144.925,1664902800000
"485",144.75,1664902860000
"486",144.72,1664902920000
"487",144.81,1664902980000
"488",144.82,1664903040000
"489",144.7201,1664903100000
"490",144.7165,1664903160000
